catalogNumber,scientificName
CASTYPE14584,Perdita linsleyi
CASTYPE14585,Perdita lucens
CASTYPE14586,Perdita luciae
CASTYPE14587,Perdita lucidella
CASTYPE14588,Perdita luctuosa
CASTYPE14589,Perdita luculenta
CASTYPE14590,Perdita lunulata
CASTYPE14591,Perdita lustrans
CASTYPE14592,Perdita lycii
CASTYPE14593,Perdita macneilli
CASTYPE14594,Perdita maculosa
CASTYPE14595,Perdita maerens
CASTYPE14596,Perdita maesta
CASTYPE14597,Perdita magniceps
CASTYPE14598,Perdita malacothricis
CASTYPE14599,Perdita mandibularis
CASTYPE14600,Perdita maritima
CASTYPE14601,Perdita mazatlanica
CASTYPE14602,Perdita media
CASTYPE14603,Perdita melanderi
CASTYPE14604,Perdita melanogastra
CASTYPE14605,Perdita melanops
CASTYPE14606,Perdita mellea
CASTYPE14607,Perdita mesillensis
CASTYPE14608,Perdita micans
CASTYPE14609,Perdita micheneri
CASTYPE14610,Perdita mimula
CASTYPE14611,Perdita minuta
CASTYPE14612,Perdita modestissima
CASTYPE14613,Perdita mohavensis
CASTYPE14614,Perdita moldenkei
CASTYPE14615,Perdita montereyensis
CASTYPE14616,Perdita mormonica
CASTYPE14617,Perdita mortuaria
CASTYPE14618,Perdita morula
CASTYPE14619,Perdita mucronata
CASTYPE14620,Perdita munda
CASTYPE14621,Perdita munita
CASTYPE14622,Perdita namatophila
CASTYPE14623,Perdita nanula
CASTYPE14624,Perdita nasuta
CASTYPE14625,Perdita nasuta
CASTYPE14626,Perdita navarretiae
CASTYPE14627,Perdita navarretiae
CASTYPE14628,Perdita navarretiae
CASTYPE14629,Perdita nevadensis
CASTYPE14630,Perdita nevadiana
CASTYPE14631,Perdita nigrella
CASTYPE14632,Perdita nigrifacies
CASTYPE14633,Perdita nigroaenea
CASTYPE14634,Perdita nigrocaerulea
CASTYPE14635,Perdita nigrocincta
CASTYPE14636,Perdita nitens
CASTYPE14637,Perdita nubila
CASTYPE14638,Perdita numerata
CASTYPE14639,Perdita obispoensis
CASTYPE14640,Perdita obscurella
CASTYPE14641,Perdita obscuripennis
CASTYPE14642,Perdita obtusa
CASTYPE14643,Perdita omani
CASTYPE14644,Perdita opacella
CASTYPE14645,Perdita optiva
CASTYPE14646,Perdita ordinata
CASTYPE14647,Perdita oregonensis
CASTYPE14648,Perdita oregonensis
CASTYPE14649,Perdita oreophila
CASTYPE14650,Perdita otiosa
CASTYPE14651,Perdita ovaliceps
CASTYPE14652,Perdita pallida
CASTYPE14653,Perdita pallidiventris
CASTYPE14654,Perdita panocheana
CASTYPE14655,Perdita parilis
CASTYPE14656,Perdita parkeri
CASTYPE14657,Perdita paroselae
CASTYPE14658,Perdita parryellae
CASTYPE14659,Perdita pectoralis
CASTYPE14660,Perdita perplexa
CASTYPE14661,Perdita perpulchra
CASTYPE14662,Perdita physalidis
CASTYPE14663,Perdita placens
CASTYPE14664,Perdita placida
CASTYPE14665,Perdita planifrons
CASTYPE14666,Perdita plucheae
CASTYPE14668,Perdita polycarpae
CASTYPE14669,Perdita polytropica
CASTYPE14670,Perdita portalis
CASTYPE14671,Perdita pratensis
