catalogNumber,scientificName
CASTYPE4772,Melecta bohartorum
CASTYPE4775,Ericrocis rossi
CASTYPE4789,Epeolus mesillae palmarum
CASTYPE4791,Hesperonomada melanantha
CASTYPE4801,Triepeolus mojavensis
CASTYPE4810,Stelis hemirhoda
CASTYPE4814,Andrena boharti
CASTYPE4816,Andrena rhodotricha
CASTYPE4831,Neolarra californica
CASTYPE4847,Andrena nigroclypeata
CASTYPE4924,Ashmeadiella stenognatha
CASTYPE4962,Oreopasites albinota
CASTYPE5120,Xylocopa orpifex androleuca
CASTYPE5156,Anthocopa anthodyta
CASTYPE5158,Anthocopa pycnognatha
CASTYPE5160,Anthocopa panamintensis
CASTYPE5163,Anthocopa nitidivitta
CASTYPE5165,Anthocopa laevibullata
CASTYPE5168,Anthocopa oregona
CASTYPE5170,Anthocopa nigrior
CASTYPE5216,Chelostoma tetramerum
CASTYPE5231,Megachile boharti
CASTYPE5232,Megachile inyoensis
CASTYPE5233,Megachile asterae
CASTYPE5234,Megachile rossi
CASTYPE5274,Triopasites micheneri
CASTYPE5275,Triopasites laguna
CASTYPE5290,Neopasites insoletus
CASTYPE5291,Neopasites arizonicus
CASTYPE5350,Gnathopasites sierrae
CASTYPE5353,Neopasites minimus
CASTYPE5354,Neopasites robertsoni pubescens
CASTYPE5575,Dianthidium subrufulum
CASTYPE5577,Dianthidium ulkei reductum
CASTYPE5579,Dianthidium fraternum hirtulum
CASTYPE5581,Dianthidium pudicum decorum
CASTYPE5583,Dianthidium pudicum inyoense
CASTYPE5585,Dianthidium consimile mccrackenae
CASTYPE5587,Dianthidium macswaini
CASTYPE5771,Stelis linsleyi
CASTYPE5785,Andrena meadowsi
CASTYPE5786,Andrena hypoleuca
CASTYPE5787,Andrena catalinica
CASTYPE5961,Dufourea tuolumne
CASTYPE5963,Dufourea vanduzeei
CASTYPE5964,Dufourea neocalifornica
CASTYPE5965,Dufourea tarsata
CASTYPE5967,Dufourea timberlakei
CASTYPE5968,Dufourea femorata
CASTYPE5970,Dufourea cuprea
CASTYPE5972,Dufourea trochantera
CASTYPE5974,Dufourea vandykei
CASTYPE5976,Dufourea pectinipes
CASTYPE5977,Dufourea longiceps
CASTYPE5979,Dufourea afasciata
CASTYPE5981,Dufourea dentipes
CASTYPE5983,Dufourea dilatipes
CASTYPE6018,Andrena hurdi
CASTYPE6022,Dianthidium pudicum peninsulare
CASTYPE6023,Dianthidium rossi
CASTYPE6132,Andrena cressonii
CASTYPE6134,Andrena osmioides
CASTYPE6623,Colletes bryanti
CASTYPE6624,Colletes deserticola
CASTYPE6625,Colletes monticola inyoensis
CASTYPE6626,Colletes monticola interior
CASTYPE6627,Colletes peninsularis
CASTYPE6628,Colletes solitarius
CASTYPE6629,Colletes vandykei
CASTYPE6630,Perdita arnaudi
CASTYPE6631,Perdita beatula
CASTYPE6632,Perdita bidentata
CASTYPE6633,Perdita binotata
CASTYPE6634,Perdita chloris
CASTYPE6635,Perdita concors
CASTYPE6636,Perdita crotonis
CASTYPE6637,Perdita dissimulans
CASTYPE6638,Perdita nigriventris
CASTYPE6639,Perdita nigroviridis
CASTYPE6640,Perdita perixantha
CASTYPE6641,Perdita propodealis
CASTYPE6642,Perdita rossi
CASTYPE6643,Perdita vandykei
CASTYPE6647,Dianthidium discors
CASTYPE6648,Anthophora fulvicollis
CASTYPE6649,Anthophora pernicis
CASTYPE6650,Anthophora catalinae clementina
CASTYPE6651,Anthophora nicolai
CASTYPE6652,Epeolus piscatoris
CASTYPE6656,Megachile santiamensis
CASTYPE6657,Nomadopsis anthidius
CASTYPE6658,Nomadopsis barri
CASTYPE6659,Nomadopsis boharti
CASTYPE6660,Nomadopsis cazieri
CASTYPE6661,Nomadopsis cincta
CASTYPE6662,Nomadopsis macswaini
CASTYPE6663,Nomadopsis micheneri
CASTYPE6664,Nomadopsis smithi
CASTYPE6665,Nomadopsis snellingi
CASTYPE6668,Dioxys pacificus melanogaster
CASTYPE6669,Dioxys pomonae timberlakei
CASTYPE6672,Pycnanthidium solomonis
CASTYPE6673,Nomia boharti
CASTYPE6674,Nomia micheneri
CASTYPE6677,Apis samarensis
CASTYPE6679,Ashmeadiella micheneri
CASTYPE6681,Centris anomala
CASTYPE6682,Paranthidium sonorum
CASTYPE6683,Anthocopa arizonensis
CASTYPE6684,Anthocopa hebitis
CASTYPE6685,Anthocopa hypostomalis
CASTYPE6687,Ashmeadiella leachi
CASTYPE6688,Ashmeadiella vandykiella
CASTYPE6689,Proteriades boharti
CASTYPE6690,Proteriades seminigra yosemitensis
CASTYPE6691,Hoplitis perissocera
CASTYPE6692,Hoplitis rufina
CASTYPE6693,Stelis acutiventris
CASTYPE6695,Andrena macswaini
CASTYPE6696,Andrena anatolis
CASTYPE6698,Andrena anograe
CASTYPE6699,Andrena apasta
CASTYPE6700,Andrena chylismiae
CASTYPE6701,Andrena eothina
CASTYPE6702,Andrena evoluta
CASTYPE6703,Andrena furva
CASTYPE6704,Andrena mojavensis
CASTYPE6705,Andrena nevadae
CASTYPE6706,Andrena omninigra
CASTYPE6707,Andrena raveni
CASTYPE6708,Andrena rozeni
CASTYPE6709,Andrena subchalybea
CASTYPE6710,Andrena vespertina
CASTYPE6711,Melissodes bimatris
CASTYPE6712,Melissodes brevipyga
CASTYPE6713,Melissodes cerussata
CASTYPE6714,Melissodes clarkiae
CASTYPE6715,Melissodes comata
CASTYPE6716,Melissodes hurdi
CASTYPE6717,Melissodes minuscula
CASTYPE6718,Melissodes perpolita
CASTYPE6719,Melissodes plumosa
CASTYPE6721,Gaesischia mexicana
CASTYPE6722,Proteriades incanescens nevadensis
CASTYPE6754,Perdita macswaini
CASTYPE6755,Perdita michelbacheri
CASTYPE6761,Perdita nigronotata
CASTYPE6762,Perdita salicis
CASTYPE6763,Perdita salicis
CASTYPE6764,Perdita sexmaculata
CASTYPE6765,Perdita williamsi
CASTYPE6766,Trachusa gummifera
CASTYPE8742,Anthophora erythrothorax
CASTYPE8743,Conanthalictus seminiger
CASTYPE8744,Emphoropsis salviae
CASTYPE8745,Halictoides altadenae
CASTYPE8746,Halictoides australis
CASTYPE8747,Halictoides bernardinus
CASTYPE8748,Halictoides eschscholtziae
CASTYPE8749,Halictoides harveyi sierrae
CASTYPE8750,Halictoides nemophilae
CASTYPE8751,Halictoides rhamni
CASTYPE8752,Halictoides ruficaudus
CASTYPE8753,Halictoides sandhouseae
CASTYPE8755,Neolarra linsleyi
CASTYPE8756,Osmia femorata
CASTYPE8758,Osmia latisulcata
CASTYPE8759,Osmia marginata
CASTYPE8760,Osmia mixta
CASTYPE8761,Osmia occidentalis
CASTYPE8762,Osmia pingreeana
CASTYPE8763,Osmia potentillae
CASTYPE8764,Osmia punctata
CASTYPE8765,Osmia sequoiae
CASTYPE8766,Osmia tokopahensis
CASTYPE8767,Osmia wardiana austromontana
CASTYPE8768,Proteriades evansi
CASTYPE8769,Proteriades tristis
CASTYPE8770,Panurginus gracilis
CASTYPE8771,Panurginus gabrielis
CASTYPE8772,Pseudopanurgus aurifodinae
CASTYPE8773,Stelis micheneri
CASTYPE8847,Peponapis timberlakei
CASTYPE8848,Peponapis michelbacherorum
CASTYPE8960,Dianthidium marshi
CASTYPE8961,Dianthidium parkeri
CASTYPE9005,Epeolus brumleyi
CASTYPE9006,Epeolus tessieris
CASTYPE9226,Heterostelis hurdi
CASTYPE9227,Heterostelis texana
CASTYPE931,Centris vanduzeei
CASTYPE932,Centris rhodoleuca
CASTYPE933,Centris cockerelli resoluta
CASTYPE934,Centris pallida callognatha
CASTYPE935,Centris tiburonensis
CASTYPE936,Centris trichosoma
CASTYPE937,Anthophora leucostomella
CASTYPE938,Anthophora pachyodonta
CASTYPE939,Anthophora xanthochlora
CASTYPE940,Anthophora estebana
CASTYPE941,Anthophora hololeuca
CASTYPE942,Exomalopsis pulchella arida
CASTYPE9436,Melissodes pullatella
CASTYPE944,Diadasia australis petrinus
CASTYPE945,Melissodes communis gratior
CASTYPE946,Melissodes catalinensis vanduzeei
CASTYPE947,Melissodes callophila
CASTYPE948,Melissodes callophila nanula
CASTYPE949,Melissodes idonea
CASTYPE950,Dianthidium platyurum
CASTYPE951,Dianthidium profugum
CASTYPE9523,Andrena arctostaphylae
CASTYPE9524,Andrena ardis
CASTYPE9525,Andrena calvata
CASTYPE9526,Andrena hermosa
CASTYPE9527,Andrena humeralis
CASTYPE9529,Andrena ishii
CASTYPE952,Anthidium sonorense
CASTYPE9530,Andrena levipes
CASTYPE9531,Andrena monticola
CASTYPE9532,Andrena murietae
CASTYPE9533,Andrena neomexicana
CASTYPE9534,Andrena ofella
CASTYPE9535,Andrena penutiani
CASTYPE9536,Andrena sonorensis
CASTYPE9537,Andrena vinnula
CASTYPE9538,Andrena viridissima
CASTYPE9540,Hylaeus insolitus
CASTYPE9541,Melissodes tescorum
CASTYPE9542,Svastra pallidior
CASTYPE9544,Andrena tegularis
CASTYPE9545,Andrena repanda
CASTYPE954,Epeolus permixtus
CASTYPE955,Perdita exclamans
CASTYPE956,Perdita vanduzeei
CASTYPE957,Perdita clarifacies
CASTYPE958,Perdita vittata
CASTYPE959,Perdita erudita
CASTYPE9971,Andrena balsamorhizae
CASTYPE9972,Andrena parilis
CASTYPE9973,Andrena utahensis
CASTYPE9997,Synhalonia monozona
